datetime,tokyo,saitama,kanagawa,chiba
2011/1/14,0,0,0,0
2011/1/15,0,0,0,0
2011/1/16,0,0,0,0
2011/1/17,0,0,0,0
2011/1/18,0,0,0,0
2011/1/19,0,0,0,0
2011/1/20,0,0,0,0
2011/1/21,0,0,0,0
2011/1/22,0,0,0,0
2011/1/23,0,0,0,0
2011/1/24,3.5,0,0,2
2011/1/25,0,0,0,0
2011/1/26,0,0,0,0
2011/1/27,0,0,0,0
2011/1/28,0,0,0,0
2011/1/29,0,0,0,0
2011/1/30,0,0,0,0
2011/1/31,0,0,0,0
2011/2/1,0,0,0,0
2011/2/2,0,0,0,0
2011/2/3,0,0,0,0
2011/2/4,0,0,0,0
2011/2/5,0,0,0,0
2011/2/6,0,0,1,6.5
2011/2/7,0,0,0,0
2011/2/8,1,0,0,0
2011/2/9,5.5,2,4.5,5.5
2011/2/10,0,0,0,0
2011/2/11,11,6.5,9.5,10.5
2011/2/12,2.5,1.5,0.5,2.5
2011/2/13,0,0,0,0
2011/2/14,21,16,17.5,19.5
2011/2/15,2.5,1.5,1.5,3.5
2011/2/16,0,0,0,0
2011/2/17,0,0,2,0
2011/2/18,76.5,30,60,65.5
2011/2/19,0,0,0,0
2011/2/20,1,0,1,4
2011/2/21,0,0,0,0.5
2011/2/22,0,0,0,0
2011/2/23,0,0,0,0
2011/2/24,0,0,0,0
2011/2/25,0,0,0,0
2011/2/26,0,0,0,0
2011/2/27,0,0,0,0
2011/2/28,30,25,41,34
2011/3/1,10.5,7,9,10
2011/3/2,0,0,0,2
2011/3/3,0,0,0,0
2011/3/4,0,0,0,0
2011/3/5,0,0,0,0
2011/3/6,0,0,0,0
2011/3/7,28,21.5,26,26.5
2011/3/8,0.5,0.5,0.5,0
2011/3/9,0,0,0,0
2011/3/10,0,0,0,0
2011/3/11,0,0,0,0
2011/3/12,0,0,0,0
2011/3/13,0,0,0,0
2011/3/14,0,0,0,0
2011/3/15,0,0,0,0
2011/3/16,0,0,0,0
2011/3/17,0,0,0,0
2011/3/18,0,0,0,0
2011/3/19,0,0,0,0
2011/3/20,0,0,0,0
2011/3/21,20,19.5,32.5,22
2011/3/22,13.5,12.5,13.5,14.5
2011/3/23,1.5,5.5,4,1
2011/3/24,0,0,0,0
2011/3/25,0,0,1,1
