iter	Passed	Remaining
399	77078	501010
400	77283	500896
401	77475	500697
402	77668	500506
403	77850	500244
404	78041	500044
405	78220	499764
406	78416	499590
407	78603	499363
408	78808	499245
409	79005	499083
410	79186	498818
411	79368	498558
412	79562	498370
413	79750	498149
414	79940	497940
415	80124	497693
416	80321	497529
417	80502	497269
418	80685	497015
419	80892	496913
420	81075	496659
421	81270	496483
422	81460	496275
423	81641	496008
424	81845	495886
425	82046	495743
426	82228	495489
427	82409	495226
428	82600	495027
429	82786	494792
430	82968	494538
431	83148	494273
432	83340	494078
433	83533	493886
434	83717	493645
435	83913	493473
436	84118	493355
437	84301	493106
438	84477	492817
439	84667	492609
440	84838	492294
441	85014	492007
442	85205	491805
443	85395	491600
444	85583	491383
445	85768	491151
446	85965	490984
447	86161	490811
448	86363	490672
449	86573	490580
450	86765	490389
451	86964	490233
452	87160	490063
453	87361	489916
454	87544	489669
455	87731	489449
456	87927	489278
457	88119	489084
458	88310	488884
459	88505	488706
460	88691	488475
461	88883	488279
462	89050	487951
463	89230	487690
464	89424	487505
465	89620	487335
466	89815	487155
467	89993	486889
468	90179	486660
469	90388	486556
470	90574	486332
471	90771	486166
472	90956	485933
473	91138	485688
474	91321	485445
475	91503	485199
476	91695	485003
477	91872	484733
478	92057	484504
479	92250	484313
480	92432	484070
481	92620	483856
482	92819	483700
483	93003	483461
484	93186	483227
485	93359	482933
486	93554	482756
487	93745	482560
488	93926	482311
489	94115	482103
490	94317	481960
491	94502	481729
492	94697	481557
493	94898	481408
494	95096	481243
495	95291	481068
496	95476	480839
497	95664	480626
498	95844	480375
499	96035	480176
500	96231	480006
501	96419	479793
502	96606	479576
503	96802	479401
504	97000	479239
505	97183	479004
506	97376	478817
507	97563	478600
508	97754	478400
509	97944	478200
510	98143	478042
511	98332	477836
512	98513	477587
513	98709	477415
514	98896	477198
515	99075	476944
516	99260	476719
517	99440	476469
518	99623	476235
519	99821	476069
520	100001	475823
521	100189	475613
522	100378	475404
523	100565	475189
524	100749	474961
525	100930	474719
526	101134	474583
527	101343	474473
528	101540	474303
529	101731	474105
530	101925	473924
531	102116	473726
532	102291	473457
533	102479	473246
534	102660	473004
535	102858	472840
536	103050	472648
537	103229	472397
538	103417	472191
539	103608	471992
540	103797	471788
541	103971	471514
542	104167	471345
543	104353	471126
544	104530	470868
545	104718	470659
546	104900	470421
547	105083	470191
548	105273	469989
549	105453	469746
550	105650	469580
551	105851	469429
552	106033	469194
553	106245	469090
554	106434	468888
555	106633	468725
556	106815	468494
557	107000	468272
558	107198	468108
559	107387	467904
560	107583	467727
561	107764	467490
562	107946	467255
563	108124	467005
564	108323	466844
565	108512	466640
566	108709	466474
567	108902	466284
568	109097	466111
569	109297	465953
570	109495	465785
571	109697	465640
572	109885	465433
573	110065	465189
574	110255	464990
575	110451	464815
576	110653	464667
577	110846	464482
578	111041	464301
579	111232	464106
580	111411	463861
581	111592	463624
582	111781	463422
583	111975	463242
584	112165	463041
585	112360	462865
586	112543	462638
587	112725	462404
588	112913	462197
589	113106	462010
590	113288	461781
591	113467	461536
592	113662	461357
593	113860	461190
594	114047	460980
595	114223	460725
596	114420	460555
597	114598	460310
598	114820	460241
599	115003	460012
600	115196	459828
601	115386	459628
602	115584	459460
603	115774	459266
604	115973	459101
605	116155	458870
606	116350	458691
607	116534	458471
608	116718	458249
609	116931	458141
610	117119	457935
611	117304	457716
612	117496	457526
613	117690	457346
614	117890	457184
615	118084	457002
616	118269	456783
617	118466	456613
618	118663	456444
619	118847	456222
620	119050	456073
621	119236	455860
622	119425	455659
623	119613	455451
624	119803	455251
625	119988	455034
626	120184	454862
627	120371	454653
628	120559	454447
629	120733	454188
630	120937	454043
631	121132	453865
632	121320	453657
633	121510	453459
634	121692	453234
635	121873	453002
636	122058	452786
637	122254	452610
638	122452	452443
639	122661	452315
640	122852	452119
641	123039	451909
642	123219	451678
643	123403	451458
644	123594	451262
645	123773	451027
646	123970	450853
647	124153	450630
648	124336	450408
649	124538	450255
650	124726	450051
651	124926	449887
652	125109	449667
653	125295	449455
654	125472	449211
655	125647	448961
656	125844	448789
657	126021	448544
658	126223	448389
659	126412	448189
660	126624	448069
661	126805	447843
662	126992	447634
663	127167	447385
664	127347	447151
665	127529	446925
666	127714	446711
667	127902	446508
668	128094	446319
669	128293	446154
670	128497	446006
671	128665	445733
672	128868	445581
673	129053	445368
674	129236	445149
675	129430	444964
676	129619	444766
677	129814	444584
678	130032	444485
679	130233	444325
680	130418	444111
681	130600	443886
682	130780	443659
683	130971	443464
684	131164	443278
685	131351	443072
686	131535	442856
687	131730	442676
688	131939	442542
689	132127	442340
690	132313	442131
691	132510	441957
692	132697	441750
693	132885	441546
694	133085	441383
695	133266	441157
696	133455	440957
697	133642	440753
698	133845	440597
699	134037	440409
700	134221	440191
701	134424	440037
702	134606	439815
703	134803	439643
